species,accepted_name,status,count
Ulmus hybride Lobel,Ulmus 'Lobel',Typo,231
Magnolia Galaxy,Magnolia 'Galaxy',Typo,124
Ulmus × hybrida 'Lobel',Ulmus 'Lobel',Typo,121
Prunus Umineko,Prunus 'Umineko',Typo,119
Prunus hybride Sunset boulevard,Prunus 'Sunset Boulevard',Typo,108
Ilex x 'Nellie R. Stevens',Ilex 'Nellie R. Stevens',Typo,99
Acer - platanoïdes - Eurostar,Acer platanoides 'Eurostar',Typo,85
Malus x domestica,Malus domestica,Typo,83
Prunus Amanogawa,Prunus 'Amanogawa',Typo,83
Amelanchier Robin Hill,Amelanchier 'Robin Hill',Typo,63
Ulmus - Homestead,Ulmus 'Homestead',Typo,59
Ulmus Lutece Nanguen,Ulmus 'Nanguen',Typo,50
