species,accepted_name,status,count
Malus sp.,,Genus sp.,1733
Quercus sp.,,Genus sp.,710
Malus spp.,,Genus sp.,691
Betula sp.,,Genus sp.,689
Tilia sp.,,Genus sp.,637
Prunus sp.,,Genus sp.,531
Prunus spp.,,Genus sp.,504
Tilia n. sp.,,Genus sp.,494
Chamaecyparis n. sp.,,Genus sp.,455
Aesculus sp.,,Genus sp.,432
Acer sp.,,Genus sp.,381
Ulmus sp.,,Genus sp.,375
Fraxinus sp.,,Genus sp.,344
Ulmus spp.,,Genus sp.,324
Ulmus x,,Genus sp.,319
Casuarina sp.,,Genus sp.,285
Eucalyptus sp.,,Genus sp.,275
Crataegus spp.,,Genus sp.,265
Thuja sp.,,Genus sp.,262
Pinus sp.,,Genus sp.,253
Platanus sp.,,Genus sp.,243
Betula sp,,Genus sp.,225
Salix sp.,,Genus sp.,217
Pyrus sp.,,Genus sp.,191
Larix sp.,,Genus sp.,184
Acer sp,,Genus sp.,172
Prunus sp,,Genus sp.,169
Pinus sp,,Genus sp.,159
Magnolia unidentified species,,Genus sp.,150
Prunus n. sp.,,Genus sp.,132
Crataegus sp.,,Genus sp.,130
Chamaecyparis sp.,,Genus sp.,114
Cupressus spp.,,Genus sp.,108
Washingtonia sp.,,Genus sp.,102
Malus spec.,,Genus sp.,98
Sorbus sp.,,Genus sp.,93
Populus species,,Genus sp.,96
Magnolia sp.,,Genus sp.,76
Alnus sp.,,Genus sp.,74
Malus n. sp.,,Genus sp.,71
Amelanchier spp.,,Genus sp.,70
Salix sp,,Genus sp.,67
Picea sp.,,Genus sp.,64
Betula n. sp.,,Genus sp.,64
Ulmus sp,,Genus sp.,63
Populus sp.,,Genus sp.,59
Robinia sp.,,Genus sp.,56
Juglans sp.,,Genus sp.,53
Thuja n. sp.,,Genus sp.,53
Cupressus sp.,,Genus sp.,53
Styphnolobium sp.,,Genus sp.,52
Fraxinus n. sp.,,Genus sp.,50
