species,genus,family,species:wikidata,leaf_cycle,leaf_type
Abelia × grandiflora,Abelia,Caprifoliaceae,,deciduous,broadleaved
Abies alba,Abies,Pinaceae,Q146992,evergreen,needleleaved
Abies amabilis,Abies,Pinaceae,,evergreen,needleleaved
Abies balsamea,Abies,Pinaceae,Q428023,evergreen,needleleaved
Abies bracteata,Abies,Pinaceae,Q1070125,evergreen,needleleaved
Abies canadensis,Abies,Pinaceae,Q1137143,evergreen,needleleaved
Abies cephalonica,Abies,Pinaceae,Q854892,evergreen,needleleaved
Abies cilicica,Abies,Pinaceae,Q974954,evergreen,needleleaved
Abies concolor,Abies,Pinaceae,Q145939,evergreen,needleleaved
Abies firma,Abies,Pinaceae,,evergreen,needleleaved
Abies fraseri,Abies,Pinaceae,Q1451343,evergreen,needleleaved
Abies grandis,Abies,Pinaceae,Q147434,evergreen,needleleaved
Abies holophylla,Abies,Pinaceae,,evergreen,needleleaved
Abies homolepis,Abies,Pinaceae,,evergreen,needleleaved
Abies intermedia,Abies,Pinaceae,Q428023,evergreen,needleleaved
Abies kawakamii,Abies,Pinaceae,Q716580,evergreen,needleleaved
Abies koreana,Abies,Pinaceae,Q390100,evergreen,needleleaved
Abies lasiocarpa,Abies,Pinaceae,Q978755,evergreen,needleleaved
Abies nebrodensis,Abies,Pinaceae,,evergreen,needleleaved
Abies nephrolepis,Abies,Pinaceae,,evergreen,needleleaved
Abies nordmanniana,Abies,Pinaceae,Q148920,evergreen,needleleaved
Abies numidica,Abies,Pinaceae,,evergreen,needleleaved
Abies pindrow,Abies,Pinaceae,Q1036491,evergreen,needleleaved
Abies pinsapo,Abies,Pinaceae,Q849381,evergreen,needleleaved
Abies procera,Abies,Pinaceae,,evergreen,needleleaved
Abies recurvata,Abies,Pinaceae,Q1936162,evergreen,needleleaved
Abies sachalinensis,Abies,Pinaceae,Q1520125,evergreen,needleleaved
Abies sibirica,Abies,Pinaceae,,evergreen,needleleaved
Abies spectabilis,Abies,Pinaceae,,evergreen,needleleaved
Abies veitchii,Abies,Pinaceae,,evergreen,needleleaved
Abies × vilmorinii,Abies,Pinaceae,,deciduous,needleleaved
Acacia acinacea,Acacia,Fabaceae,,deciduous,broadleaved
Acacia aegyptiaca,Acacia,Fabaceae,,deciduous,broadleaved
Acacia auriculiformis,Acacia,Fabaceae,,evergreen,broadleaved
Acacia baileyana,Acacia,Fabaceae,Q9562555,evergreen,broadleaved
Acacia caven,Acacia,Fabaceae,,evergreen,broadleaved
Acacia dealbata,Acacia,Fabaceae,Q757123,evergreen,broadleaved
Acacia decurrens,Acacia,Fabaceae,,evergreen,broadleaved
Acacia dentifera,Acacia,Fabaceae,,deciduous,broadleaved
Acacia fimbriata,Acacia,Fabaceae,,deciduous,broadleaved
Acacia floribunda,Acacia,Fabaceae,Q3296747,evergreen,broadleaved
Acacia heterophylla,Acacia,Fabaceae,,evergreen,broadleaved
Acacia howittii,Acacia,Fabaceae,,deciduous,broadleaved
Acacia implexa,Acacia,Fabaceae,Q2705505,evergreen,broadleaved
Acacia iteaphylla,Acacia,Fabaceae,Q15287407,evergreen,broadleaved
Acacia longifolia,Acacia,Fabaceae,,deciduous,broadleaved
Acacia mearnsii,Acacia,Fabaceae,Q311430,evergreen,broadleaved
Acacia melanoxylon,Acacia,Fabaceae,Q386585,evergreen,broadleaved
Acacia nilotica,Acacia,Fabaceae,,deciduous,broadleaved
